Matrix Size,Block Width,GPU Time (ms)
100,2,1.292256
100,2,1.255040
100,5,0.586368
100,5,0.560288
100,10,0.553408
100,10,0.468256
100,25,0.584896
100,25,0.574976
100,32,0.581632
100,32,0.573504
250,2,13.600448
250,2,14.007552
250,5,2.871072
250,5,3.001856
250,10,1.585024
250,10,1.728288
250,25,1.883520
250,25,1.869344
250,32,1.410144
250,32,1.484096
500,2,133.599548
500,2,133.765503
500,5,21.750368
500,5,21.813984
500,10,11.189248
500,10,11.216928
500,25,14.293088
500,25,14.177568
500,32,9.917792
500,32,9.875040
1000,2,874.677490
1000,2,872.062256
1000,5,169.405380
1000,5,159.807617
1000,10,86.530174
1000,10,86.377022
1000,25,109.752289
1000,25,109.777283
1000,32,71.699997
1000,32,72.127708
1500,2,2860.752930
1500,2,2856.134521
1500,5,502.505951
1500,5,489.266876
1500,10,272.109070
1500,10,283.216614
1500,25,328.298248
1500,25,324.739075
1500,32,228.444580
1500,32,228.373734
