Matrix Size,Host to Device Data Transfer Time,Device to Host Data Transfer Time
100,0.02688,0.124224
100,0.026432,0.15568
100,0.026624,0.12928
100,0.028096,0.090752
100,0.028672,0.093344
100,0.026432,0.11664
100,0.029152,0.119776
100,0.026432,0.12448
100,0.028672,0.107744
100,0.032512,0.1224
250,0.203424,0.297408
250,0.2024,0.396192
250,0.206272,0.384608
250,0.215168,0.510976
250,0.205536,0.341696
250,0.20416,0.396
250,0.20608,0.283936
250,0.259712,0.296
250,0.212032,0.30688
250,0.2264,0.36032
500,0.796352,0.999136
500,0.714208,0.963136
500,0.719744,0.941984
500,0.688192,1.003232
500,0.704512,0.967232
500,0.718944,1.034624
500,0.699392,1.065344
500,0.71408,1.415136
500,0.684768,0.952128
500,0.747744,1.07392
1000,2.705216,2.976224
1000,2.838208,3.034016
1000,3.053344,3.06992
1000,2.785696,3.453888
1000,2.955136,3.357984
1000,2.737984,3.220064
1000,2.853856,3.00096
1000,3.076672,2.978208
1000,2.848512,3.029088
1000,2.901568,3.065568
1500,6.055904,6.583968
1500,6.21984,6.553088
1500,6.076928,6.580064
1500,6.4616,6.875584
1500,6.50288,6.882656
1500,6.30944,6.227104
1500,6.435264,6.445984
1500,6.16416,6.741856
1500,6.219936,6.132576
1500,6.46448,6.325344
